,Tahun,Bulan,Hari,Jam,elevasi (m)
175484,2004,1,7,20,-32.767
175485,2004,1,7,21,-32.767
175486,2004,1,7,22,-32.767
175487,2004,1,7,23,-32.767
175488,2004,1,8,0,-32.767
175489,2004,1,8,1,2.33
175490,2004,1,8,2,2.41
175491,2004,1,8,3,2.44
175492,2004,1,8,4,2.44
175493,2004,1,8,5,2.38
175494,2004,1,8,6,2.28
175495,2004,1,8,7,2.1
175496,2004,1,8,8,1.96
175497,2004,1,8,9,1.83
175498,2004,1,8,10,1.69
175499,2004,1,8,11,1.61
175500,2004,1,8,12,1.52
175501,2004,1,8,13,1.48
175502,2004,1,8,14,1.49
175503,2004,1,8,15,1.52
175504,2004,1,8,16,1.58
175505,2004,1,8,17,1.61
175506,2004,1,8,18,1.67
175507,2004,1,8,19,1.68
175508,2004,1,8,20,1.78
175509,2004,1,8,21,1.83
175510,2004,1,8,22,1.94
175511,2004,1,8,23,2.01
175512,2004,1,9,0,2.12
175513,2004,1,9,1,2.21
175514,2004,1,9,2,2.31
175515,2004,1,9,3,2.37
175516,2004,1,9,4,2.42
175517,2004,1,9,5,2.36
175518,2004,1,9,6,2.29
175519,2004,1,9,7,2.22
175520,2004,1,9,8,2.06
175521,2004,1,9,9,1.89
175522,2004,1,9,10,1.73
175523,2004,1,9,11,1.66
175524,2004,1,9,12,1.55
175525,2004,1,9,13,1.51
175526,2004,1,9,14,1.51
175527,2004,1,9,15,1.58
175528,2004,1,9,16,1.61
175529,2004,1,9,17,1.64
175530,2004,1,9,18,1.7
175531,2004,1,9,19,1.72
175532,2004,1,9,20,1.79
175533,2004,1,9,21,1.84
175534,2004,1,9,22,1.94
175535,2004,1,9,23,2.02
175536,2004,1,10,0,2.13
175537,2004,1,10,1,2.19
175538,2004,1,10,2,2.29
175539,2004,1,10,3,2.35
175540,2004,1,10,4,2.4
175541,2004,1,10,5,2.4
175542,2004,1,10,6,2.38
175543,2004,1,10,7,2.28
175544,2004,1,10,8,2.2
